name_1,name_2,name_3,name_4,name_5,LEAF_CAT_ID,LEAF_CAT_URL
Nhà Cửa - Đời Sống,Đèn & thiết bị chiếu sáng,Đèn khác,,,c23246,https://tiki.vn/den-khac/c23246
Nhà Cửa - Đời Sống,Đèn & thiết bị chiếu sáng,"Đèn xông tinh dầu, tinh dầu và phụ kiện",,,c23802,https://tiki.vn/den-xong-tinh-dau-tinh-dau-va-phu-kien/c23802
Nhà Cửa - Đời Sống,Nội thất,Nội thất phòng khách,Bàn ghế các loại,,c12590,https://tiki.vn/ban-ghe-cac-loai/c12590
Nhà Cửa - Đời Sống,Nội thất,Nội thất phòng khách,Đệm ngồi,,c23374,https://tiki.vn/dem-ngoi/c23374
Nhà Cửa - Đời Sống,Nội thất,Nội thất phòng khách,Sofa/ salon và phụ kiện,,c23576,https://tiki.vn/sofa-salon-va-phu-kien/c23576
Nhà Cửa - Đời Sống,Nội thất,Nội thất phòng khách,Kệ & Tủ,,c23588,https://tiki.vn/ke-tu/c23588
Nhà Cửa - Đời Sống,Nội thất,Nội thất phòng khách,"Rèm, màn cửa",,c23592,https://tiki.vn/rem-man-cua/c23592
Nhà Cửa - Đời Sống,Nội thất,Nội thất phòng khách,Nội thất phòng khách khác,,c23596,https://tiki.vn/noi-that-phong-khach-khac/c23596
Nhà Cửa - Đời Sống,Nội thất,Nội thất phòng ngủ,Ghế các loại,,c23540,https://tiki.vn/ghe-cac-loai/c23540
Nhà Cửa - Đời Sống,Nội thất,Nội thất phòng ngủ,Bàn trang điểm,,c23600,https://tiki.vn/ban-trang-diem/c23600
Nhà Cửa - Đời Sống,Nội thất,Nội thất phòng ngủ,Tủ,,c23622,https://tiki.vn/tu/c23622
Nhà Cửa - Đời Sống,Nội thất,Nội thất phòng ngủ,Gương,,c23630,https://tiki.vn/guong/c23630
Nhà Cửa - Đời Sống,Nội thất,Nội thất phòng ngủ,Nội thất phòng ngủ khác,,c23634,https://tiki.vn/noi-that-phong-ngu-khac/c23634
Nhà Cửa - Đời Sống,Nội thất,Nội thất phòng ăn,Bàn ghế,,c23642,https://tiki.vn/ban-ghe/c23642
Nhà Cửa - Đời Sống,Nội thất,Nội thất phòng ăn,Kệ & Tủ,,c23646,https://tiki.vn/ke-tu/c23646
Nhà Cửa - Đời Sống,Nội thất,Nội thất phòng ăn,Quầy bar,,c23648,https://tiki.vn/quay-bar/c23648
Nhà Cửa - Đời Sống,Nội thất,Nội thất phòng ăn,Nội thất phòng ăn khác,,c23652,https://tiki.vn/noi-that-phong-an-khac/c23652
Nhà Cửa - Đời Sống,Nội thất,"Nội thất phòng học, làm việc",Bàn vi tính,,c23656,https://tiki.vn/ban-vi-tinh/c23656
Nhà Cửa - Đời Sống,Nội thất,"Nội thất phòng học, làm việc","Tủ, kệ sách",,c23658,https://tiki.vn/tu-ke-sach/c23658
Nhà Cửa - Đời Sống,Nội thất,"Nội thất phòng học, làm việc","Nội thất phòng học, làm việc khác",,c23660,https://tiki.vn/noi-that-phong-hoc-lam-viec-khac/c23660
Nhà Cửa - Đời Sống,Nội thất,"Nội thất phòng học, làm việc",Bàn ghế học sinh,,c4380,https://tiki.vn/ban-ghe-hoc-sinh/c4380
Nhà Cửa - Đời Sống,Nội thất,"Nội thất phòng học, làm việc",Bàn ghế làm việc,,c4381,https://tiki.vn/ban-ghe-lam-viec/c4381
Nhà Cửa - Đời Sống,Nội thất,Nội thất trẻ em,Bàn trẻ em,,c23664,https://tiki.vn/ban-tre-em/c23664
Nhà Cửa - Đời Sống,Nội thất,Nội thất trẻ em,Giường ngủ trẻ em,Giường tầng,c23676,https://tiki.vn/giuong-tang/c23676
Nhà Cửa - Đời Sống,Nội thất,Nội thất trẻ em,Ghế trẻ em,,c23668,https://tiki.vn/ghe-tre-em/c23668
