name_1,name_2,name_3,name_4,name_5,LEAF_CAT_ID,LEAF_CAT_URL
Thể Thao - Dã Ngoại,Dụng cụ - thiết bị tập thể thao,Xà đơn,,,c24138,https://tiki.vn/xa-don/c24138
Thể Thao - Dã Ngoại,Dụng cụ - thiết bị tập thể thao,Xà kép,,,c24140,https://tiki.vn/xa-kep/c24140
Thể Thao - Dã Ngoại,Dụng cụ - thiết bị tập thể thao,"Dụng cụ - Thiết bị tập bụng, eo",Con lăn tập bụng,,c24144,https://tiki.vn/con-lan-tap-bung/c24144
Thể Thao - Dã Ngoại,Dụng cụ - thiết bị tập thể thao,"Dụng cụ - Thiết bị tập bụng, eo",Ghế cong lưng tập bụng,,c24146,https://tiki.vn/ghe-cong-lung-tap-bung/c24146
Thể Thao - Dã Ngoại,Dụng cụ - thiết bị tập thể thao,"Dụng cụ - Thiết bị tập bụng, eo",Máy tập bụng,,c24148,https://tiki.vn/may-tap-bung/c24148
Thể Thao - Dã Ngoại,Dụng cụ - thiết bị tập thể thao,"Dụng cụ - Thiết bị tập bụng, eo",Dụng cụ tập eo,,c24150,https://tiki.vn/dung-cu-tap-eo/c24150
Thể Thao - Dã Ngoại,Dụng cụ - thiết bị tập thể thao,Dây nhảy,,,c24152,https://tiki.vn/day-nhay/c24152
Thể Thao - Dã Ngoại,Dụng cụ - thiết bị tập thể thao,Dây đàn hồi tập gym,,,c24164,https://tiki.vn/day-dan-hoi-tap-gym/c24164
Thể Thao - Dã Ngoại,Dụng cụ - thiết bị tập thể thao,Dụng cụ tập cơ tay,,,c24166,https://tiki.vn/dung-cu-tap-co-tay/c24166
Thể Thao - Dã Ngoại,Dụng cụ - thiết bị tập thể thao,Dụng cụ hít đất,,,c24168,https://tiki.vn/dung-cu-hit-dat/c24168
Thể Thao - Dã Ngoại,Dụng cụ - thiết bị tập thể thao,Dụng cụ tập thể thao khác,,,c24170,https://tiki.vn/dung-cu-tap-the-thao-khac/c24170
Thể Thao - Dã Ngoại,Dụng cụ - thiết bị tập thể thao,Tạ tập,Tạ đôi,,c24154,https://tiki.vn/ta-doi/c24154
Thể Thao - Dã Ngoại,Dụng cụ - thiết bị tập thể thao,Tạ tập,"Tạ đeo tay, chân",,c24156,https://tiki.vn/ta-deo-tay-chan/c24156
Thể Thao - Dã Ngoại,Dụng cụ - thiết bị tập thể thao,Tạ tập,Tạ miếng,,c24158,https://tiki.vn/ta-mieng/c24158
Thể Thao - Dã Ngoại,Dụng cụ - thiết bị tập thể thao,Tạ tập,Tạ vôi,,c24160,https://tiki.vn/ta-voi/c24160
Thể Thao - Dã Ngoại,Dụng cụ - thiết bị tập thể thao,Tạ tập,Phụ kiện tạ tập,,c24162,https://tiki.vn/phu-kien-ta-tap/c24162
Thể Thao - Dã Ngoại,Dụng cụ leo núi,Gậy leo núi,,,c24260,https://tiki.vn/gay-leo-nui/c24260
Thể Thao - Dã Ngoại,Dụng cụ leo núi,Thiết bị hỗ trợ leo dây,,,c24262,https://tiki.vn/thiet-bi-ho-tro-leo-day/c24262
Thể Thao - Dã Ngoại,Dụng cụ leo núi,Dụng cụ bảo hộ leo núi,,,c24264,https://tiki.vn/dung-cu-bao-ho-leo-nui/c24264
Thể Thao - Dã Ngoại,Dụng cụ leo núi,Balo leo núi,,,c24266,https://tiki.vn/balo-leo-nui/c24266
