name_1,name_2,name_3,name_4,name_5,LEAF_CAT_ID,LEAF_CAT_URL
Điện Gia Dụng,Đồ dùng nhà bếp,Lò nướng điện,Lò nướng thùng,,c2040,https://tiki.vn/lo-nuong-thung/c2040
Điện Gia Dụng,Đồ dùng nhà bếp,Lò nướng điện,Lò nướng thủy tinh,,c2041,https://tiki.vn/lo-nuong-thuy-tinh/c2041
Điện Gia Dụng,Đồ dùng nhà bếp,Lò nướng điện,Lò nướng bánh mì sandwich,,c2042,https://tiki.vn/lo-nuong-banh-mi-sandwich/c2042
Điện Gia Dụng,Đồ dùng nhà bếp,Lò nướng điện,Lò nướng âm tủ,,c4747,https://tiki.vn/lo-nuong-am-tu/c4747
Điện Gia Dụng,Đồ dùng nhà bếp,"Máy xay, máy ép",Máy xay sinh tố,Máy xay sinh tố gia đình,c24062,https://tiki.vn/may-xay-sinh-to-gia-dinh/c24062
Điện Gia Dụng,Đồ dùng nhà bếp,"Máy xay, máy ép",Máy xay sinh tố,Máy xay sinh tố công nghiệp,c24066,https://tiki.vn/may-xay-sinh-to-cong-nghiep/c24066
Điện Gia Dụng,Đồ dùng nhà bếp,"Máy xay, máy ép",Máy ép trái cây,,c2106,https://tiki.vn/may-ep-trai-cay/c2106
Điện Gia Dụng,Đồ dùng nhà bếp,"Máy xay, máy ép",Máy xay ép đa năng,,c2107,https://tiki.vn/may-xay-ep-da-nang/c2107
Điện Gia Dụng,Đồ dùng nhà bếp,"Máy xay, máy ép",Máy vắt cam,,c2109,https://tiki.vn/may-vat-cam/c2109
Điện Gia Dụng,Đồ dùng nhà bếp,"Máy xay, máy ép",Máy xay thịt,,c2110,https://tiki.vn/may-xay-thit/c2110
Điện Gia Dụng,Đồ dùng nhà bếp,"Máy xay, máy ép",Máy xay cắt đa năng,,c2111,https://tiki.vn/may-xay-cat-da-nang/c2111
Điện Gia Dụng,Đồ dùng nhà bếp,"Máy xay, máy ép",Máy xay cầm tay,,c2850,https://tiki.vn/may-xay-cam-tay/c2850
Điện Gia Dụng,Đồ dùng nhà bếp,Máy làm sữa đậu nành,,,c2025,https://tiki.vn/may-lam-sua-dau-nanh/c2025
Điện Gia Dụng,Đồ dùng nhà bếp,Máy làm sữa chua,,,c2026,https://tiki.vn/may-lam-sua-chua/c2026
Điện Gia Dụng,Đồ dùng nhà bếp,Vỉ nướng điện,,,c2044,https://tiki.vn/vi-nuong/c2044
Điện Gia Dụng,Đồ dùng nhà bếp,Máy đánh trứng,,,c2108,https://tiki.vn/may-danh-trung/c2108
Điện Gia Dụng,Đồ dùng nhà bếp,Máy làm bánh,,,c2315,https://tiki.vn/may-lam-banh/c2315
Điện Gia Dụng,Đồ dùng nhà bếp,Máy sấy chén,,,c23818,https://tiki.vn/may-say-chen/c23818
Điện Gia Dụng,Đồ dùng nhà bếp,Máy sấy thực phẩm,,,c23820,https://tiki.vn/may-say-thuc-pham/c23820
Điện Gia Dụng,Đồ dùng nhà bếp,Máy hút chân không,,,c23822,https://tiki.vn/may-hut-chan-khong/c23822
Điện Gia Dụng,Đồ dùng nhà bếp,Máy hàn miệng túi,,,c23824,https://tiki.vn/may-han-mieng-tui/c23824
Điện Gia Dụng,Đồ dùng nhà bếp,Máy cắt thịt đông lạnh,,,c23826,https://tiki.vn/may-cat-thit-dong-lanh/c23826
Điện Gia Dụng,Đồ dùng nhà bếp,"Máy hút khói, khử mùi",,,c4875,https://tiki.vn/may-hut-khoi-khu-mui/c4875
Điện Gia Dụng,Đồ dùng nhà bếp,Máy làm mì sợi,,,c5363,https://tiki.vn/may-lam-mi-soi/c5363
Điện Gia Dụng,Đồ dùng nhà bếp,Máy làm tỏi đen,,,c7239,https://tiki.vn/may-lam-toi-den/c7239
Điện Gia Dụng,Đồ dùng nhà bếp,Máy làm kem,,,c8082,https://tiki.vn/may-lam-kem/c8082
Điện Gia Dụng,Đồ dùng nhà bếp,Đồ dùng nhà bếp khác,,,c8728,https://tiki.vn/do-dung-nha-bep-khac/c8728
Điện Gia Dụng,Thiết bị gia đình,"Bàn ủi, bàn là",Bàn ủi hơi nước,,c1994,https://tiki.vn/ban-ui-hoi-nuoc/c1994
Điện Gia Dụng,Thiết bị gia đình,"Bàn ủi, bàn là",Bàn ủi khô,,c1995,https://tiki.vn/ban-ui-kho/c1995
Điện Gia Dụng,Thiết bị gia đình,"Bàn ủi, bàn là",Bàn ủi hơi nước đứng,,c1996,https://tiki.vn/ban-ui-hoi-nuoc-dung/c1996
Điện Gia Dụng,Thiết bị gia đình,"Máy may, thêu, vắt sổ","Phụ kiện máy may, thêu, vắt sổ",,c11530,https://tiki.vn/phu-kien-may-may-theu-vat-so/c11530
Điện Gia Dụng,Thiết bị gia đình,"Máy may, thêu, vắt sổ",Máy may điện tử,,c1998,https://tiki.vn/may-may-dien-tu/c1998
Điện Gia Dụng,Thiết bị gia đình,"Máy may, thêu, vắt sổ",Máy may cơ,,c1999,https://tiki.vn/may-may-co/c1999
Điện Gia Dụng,Thiết bị gia đình,"Máy may, thêu, vắt sổ",Máy vắt sổ,,c8083,https://tiki.vn/may-vat-so/c8083
Điện Gia Dụng,Thiết bị gia đình,Quạt điện,Quạt lửng,,c2002,https://tiki.vn/quat-lung/c2002
Điện Gia Dụng,Thiết bị gia đình,Quạt điện,Quạt treo tường,,c2003,https://tiki.vn/quat-treo-tuong/c2003
Điện Gia Dụng,Thiết bị gia đình,Quạt điện,"Quạt hơi nước, phun sương",,c2004,https://tiki.vn/quat-hoi-nuoc-phun-suong/c2004
Điện Gia Dụng,Thiết bị gia đình,Quạt điện,Quạt tháp,,c2005,https://tiki.vn/quat-thap/c2005
Điện Gia Dụng,Thiết bị gia đình,Quạt điện,Quạt bàn,,c2006,https://tiki.vn/quat-ban/c2006
Điện Gia Dụng,Thiết bị gia đình,Quạt điện,Quạt hộp,,c2007,https://tiki.vn/quat-hop/c2007
Điện Gia Dụng,Thiết bị gia đình,Quạt điện,Quạt sạc,,c2008,https://tiki.vn/quat-sac/c2008
Điện Gia Dụng,Thiết bị gia đình,Quạt điện,Quạt mini,,c24076,https://tiki.vn/quat-mini/c24076
Điện Gia Dụng,Thiết bị gia đình,Quạt điện,Quạt trần,,c5134,https://tiki.vn/quat-tran/c5134
Điện Gia Dụng,Thiết bị gia đình,Quạt điện,"Quạt hút, quạt thông gió",,c6818,https://tiki.vn/qut-hut-quat-thong-gio/c6818
Điện Gia Dụng,Thiết bị gia đình,Quạt điện,Quạt Đứng,,c8084,https://tiki.vn/quat-dung/c8084
Điện Gia Dụng,Thiết bị gia đình,Máy hút bụi,Robot hút bụi,,c11860,https://tiki.vn/robot-hut-bui/c11860
Điện Gia Dụng,Thiết bị gia đình,Máy hút bụi,Phụ kiện máy hút bụi,,c13224,https://tiki.vn/phu-kien-may-hut-bui/c13224
Điện Gia Dụng,Thiết bị gia đình,Máy hút bụi,Hút bụi gia đình,,c2038,https://tiki.vn/hut-bui-gia-dinh/c2038
Điện Gia Dụng,Thiết bị gia đình,Máy hút bụi,Hút bụi cầm tay,,c2039,https://tiki.vn/hut-bui-cam-tay/c2039
Điện Gia Dụng,Thiết bị gia đình,Máy hút bụi,Hút bụi công nghiệp,,c2161,https://tiki.vn/hut-bui-cong-nghiep/c2161
