name_1,name_2,name_3,name_4,name_5,LEAF_CAT_ID,LEAF_CAT_URL
Thể Thao - Dã Ngoại,Các môn thể thao chơi vợt,Tennis,Phụ kiện tennis,,c23910,https://tiki.vn/phu-kien-tennis/c23910
Thể Thao - Dã Ngoại,Các môn thể thao chơi vợt,Tennis,Trang thiết bị sân tennis,,c23914,https://tiki.vn/trang-thiet-bi-san-tennis/c23914
Thể Thao - Dã Ngoại,Thể thao dưới nước,Bơi lội,Kính bơi,,c24320,https://tiki.vn/kinh-boi/c24320
Thể Thao - Dã Ngoại,Thể thao dưới nước,Bơi lội,Nón bơi,,c24322,https://tiki.vn/non-boi/c24322
Thể Thao - Dã Ngoại,Thể thao dưới nước,Bơi lội,Phao bơi,,c24324,https://tiki.vn/phao-boi/c24324
Thể Thao - Dã Ngoại,Thể thao dưới nước,Bơi lội,Phụ kiện bơi lội,,c24326,https://tiki.vn/phu-kien-boi-loi/c24326
Thể Thao - Dã Ngoại,Thể thao dưới nước,Bơi lội,Quần áo bơi chuyên dụng nữ,,c44462,https://tiki.vn/quan-ao-boi-chuyen-dung-nu/c44462
Thể Thao - Dã Ngoại,Thể thao dưới nước,Bơi lội,Quần áo bơi chuyên dụng nam,,c44464,https://tiki.vn/quan-ao-boi-chuyen-dung-nam/c44464
Thể Thao - Dã Ngoại,Thể thao dưới nước,Lặn biển,"Kính lặn ống thở, mặt nạ lặn",,c24330,https://tiki.vn/kinh-lan-ong-tho-mat-na-lan/c24330
Thể Thao - Dã Ngoại,Thể thao dưới nước,Lặn biển,Trang phục lặn,,c24332,https://tiki.vn/trang-phuc-lan/c24332
Thể Thao - Dã Ngoại,Thể thao dưới nước,Lặn biển,Chân nhái,,c24334,https://tiki.vn/chan-nhai/c24334
Thể Thao - Dã Ngoại,Thể thao dưới nước,Lặn biển,Phụ kiện lặn biển khác,,c24336,https://tiki.vn/phu-kien-lan-bien-khac/c24336
Thể Thao - Dã Ngoại,Thể thao dưới nước,Lướt ván,,,c8447,https://tiki.vn/luot-van/c8447
Thể Thao - Dã Ngoại,Thể thao dưới nước,Chèo thuyền,,,c8448,https://tiki.vn/cheo-thuyen/c8448
Thể Thao - Dã Ngoại,Thể thao dưới nước,Phao trượt,,,c8450,https://tiki.vn/phao-truot/c8450
Thể Thao - Dã Ngoại,Đồ dùng dã ngoại,Dao xếp đa năng,,,c24272,https://tiki.vn/dao-xep-da-nang/c24272
Thể Thao - Dã Ngoại,Đồ dùng dã ngoại,Kìm đa năng,,,c24274,https://tiki.vn/kim-da-nang/c24274
Thể Thao - Dã Ngoại,Đồ dùng dã ngoại,Bật lửa Zippo,,,c24276,https://tiki.vn/bat-lua-zippo/c24276
Thể Thao - Dã Ngoại,Đồ dùng dã ngoại,"Lều trại, mái che",,,c24278,https://tiki.vn/leu-trai-mai-che/c24278
Thể Thao - Dã Ngoại,Đồ dùng dã ngoại,Túi ngủ,,,c24280,https://tiki.vn/tui-ngu/c24280
Thể Thao - Dã Ngoại,Đồ dùng dã ngoại,Thảm dã ngoại,,,c24282,https://tiki.vn/tham-da-ngoai/c24282
Thể Thao - Dã Ngoại,Đồ dùng dã ngoại,La bàn,,,c24284,https://tiki.vn/la-ban/c24284
