name_1,name_2,name_3,name_4,name_5,LEAF_CAT_ID,LEAF_CAT_URL
Nhà Cửa - Đời Sống,Đồ dùng phòng ngủ,"Gối, ruột gối, vỏ gối",Vỏ gối,,c23370,https://tiki.vn/vo-goi/c23370
Nhà Cửa - Đời Sống,Đồ dùng phòng ngủ,Phụ kiện phòng ngủ,Chiếu,,c23392,https://tiki.vn/chieu/c23392
Nhà Cửa - Đời Sống,Đồ dùng phòng ngủ,Phụ kiện phòng ngủ,Võng,,c23394,https://tiki.vn/vong/c23394
Thể Thao - Dã Ngoại,Thực phẩm bổ sung năng lượng,Thực phẩm tăng cân,,,c10804,https://tiki.vn/thuc-pham-tang-can/c10804
Thể Thao - Dã Ngoại,Thực phẩm bổ sung năng lượng,Thực phẩm giảm cân,,,c10805,https://tiki.vn/thuc-pham-giam-can/c10805
Thể Thao - Dã Ngoại,Thực phẩm bổ sung năng lượng,Thực phẩm tăng cơ,,,c10806,https://tiki.vn/thuc-pham-tang-co/c10806
Thể Thao - Dã Ngoại,Thực phẩm bổ sung năng lượng,Thực phẩm tăng sức bền,,,c10807,https://tiki.vn/thuc-pham-tang-suc-ben/c10807
Thể Thao - Dã Ngoại,Thực phẩm bổ sung năng lượng,Bổ sung năng lượng,,,c10808,https://tiki.vn/bo-sung-nang-luong/c10808
Thể Thao - Dã Ngoại,Thực phẩm bổ sung năng lượng,Bổ sung vitamin,,,c10809,https://tiki.vn/bo-sung-vitamin/c10809
Thể Thao - Dã Ngoại,Thực phẩm bổ sung năng lượng,Bổ sung năng lượng khác,,,c24338,https://tiki.vn/bo-sung-nang-luong-khac/c24338
Thể Thao - Dã Ngoại,Thực phẩm bổ sung năng lượng,Bổ sung vitamin và điện giải,,,c24340,https://tiki.vn/bo-sung-vitamin-va-dien-giai/c24340
Thể Thao - Dã Ngoại,Các môn thể thao đối kháng,Boxing,,,c23948,https://tiki.vn/boxing/c23948
Thể Thao - Dã Ngoại,Các môn thể thao đối kháng,Kick Boxing,,,c23950,https://tiki.vn/kick-boxing/c23950
Thể Thao - Dã Ngoại,Các môn thể thao đối kháng,Muay Thái,,,c23952,https://tiki.vn/muay-thai/c23952
Thể Thao - Dã Ngoại,Các môn thể thao đối kháng,MMA,,,c23954,https://tiki.vn/mma/c23954
Thể Thao - Dã Ngoại,Các môn thể thao đối kháng,Karatedo,,,c23956,https://tiki.vn/karatedo/c23956
Thể Thao - Dã Ngoại,Các môn thể thao đối kháng,Aikido,,,c23958,https://tiki.vn/aikido/c23958
Thể Thao - Dã Ngoại,Các môn thể thao đối kháng,Taekwondo,,,c23966,https://tiki.vn/taekwondo/c23966
Thể Thao - Dã Ngoại,Các môn thể thao đối kháng,Wushu,,,c23968,https://tiki.vn/wushu/c23968
Thể Thao - Dã Ngoại,Các môn thể thao đối kháng,Judo,,,c23970,https://tiki.vn/judo/c23970
Thể Thao - Dã Ngoại,Các môn thể thao đối kháng,Vovinam,,,c23972,https://tiki.vn/vovinam/c23972
Thể Thao - Dã Ngoại,Các môn thể thao đối kháng,Võ cổ truyền,,,c23974,https://tiki.vn/vo-co-truyen/c23974
Thể Thao - Dã Ngoại,Các môn thể thao khác,Bida,Bàn bida,,c24078,https://tiki.vn/ban-bida/c24078
Thể Thao - Dã Ngoại,Các môn thể thao khác,Bida,Bi bida,,c24080,https://tiki.vn/bi-bida/c24080
Thể Thao - Dã Ngoại,Các môn thể thao khác,Bida,Cơ,,c24082,https://tiki.vn/co/c24082
Thể Thao - Dã Ngoại,Các môn thể thao khác,Bida,Phụ kiện bida khác,,c24086,https://tiki.vn/phu-kien-bida-khac/c24086
Thể Thao - Dã Ngoại,Các môn thể thao khác,Phóng phi tiêu,,,c24058,https://tiki.vn/phong-phi-tieu/c24058
Thể Thao - Dã Ngoại,Các môn thể thao khác,Bộ môn ném đĩa,,,c24060,https://tiki.vn/bo-mon-nem-dia/c24060
Thể Thao - Dã Ngoại,Các môn thể thao khác,Golf,Gậy Golf,,c24092,https://tiki.vn/gay-golf/c24092
