name_1,name_2,name_3,name_4,name_5,LEAF_CAT_ID,LEAF_CAT_URL
Nhà Cửa - Đời Sống,Dụng cụ nhà bếp,Dụng cụ chứa đựng thực phẩm,"Hũ, lọ đựng gia vị",,c6948,https://tiki.vn/hu-lo-dung-gia-vi/c6948
Nhà Cửa - Đời Sống,Dụng cụ nhà bếp,Dụng cụ chứa đựng thực phẩm,"Khay, Thau, rổ",,c9052,https://tiki.vn/khay-thau-ro/c9052
Nhà Cửa - Đời Sống,Dụng cụ nhà bếp,Kéo nhà bếp,,,c3213,https://tiki.vn/keo-nha-bep/c3213
Nhà Cửa - Đời Sống,Dụng cụ nhà bếp,Nồi và chảo,Chảo các loại,,c1984,https://tiki.vn/chao-cac-loai/c1984
Nhà Cửa - Đời Sống,Dụng cụ nhà bếp,Nồi và chảo,Nồi các loại,,c2136,https://tiki.vn/noi-cac-loai/c2136
Nhà Cửa - Đời Sống,Dụng cụ nhà bếp,Nồi và chảo,Xửng hấp,,c23126,https://tiki.vn/xung-hap/c23126
Nhà Cửa - Đời Sống,Dụng cụ nhà bếp,Dụng cụ làm bánh,Khuôn làm bánh,,c23156,https://tiki.vn/khuon-lam-banh/c23156
Nhà Cửa - Đời Sống,Dụng cụ nhà bếp,Dụng cụ làm bánh,Khay nướng bánh,,c23162,https://tiki.vn/khay-nuong-banh/c23162
Nhà Cửa - Đời Sống,Dụng cụ nhà bếp,Dụng cụ làm bánh,Dụng cụ đo lường,,c23168,https://tiki.vn/dung-cu-do-luong/c23168
Nhà Cửa - Đời Sống,Dụng cụ nhà bếp,Dụng cụ làm bánh,Cân nhà bếp,,c3515,https://tiki.vn/can-nha-bep/c3515
Nhà Cửa - Đời Sống,Dụng cụ nhà bếp,Dụng cụ làm bánh,Dụng  cụ làm bánh khác,,c5454,https://tiki.vn/dung-cu-lam-banh-khac/c5454
Nhà Cửa - Đời Sống,Dụng cụ nhà bếp,Kệ nhà bếp,,,c6305,https://tiki.vn/ke-nha-bep/c6305
Nhà Cửa - Đời Sống,Dụng cụ nhà bếp,"Dao, kéo và phụ kiện",Giá dắt dao,,c23154,https://tiki.vn/gia-dat-dao/c23154
Nhà Cửa - Đời Sống,Dụng cụ nhà bếp,"Dao, kéo và phụ kiện",Dao các loại,,c2511,https://tiki.vn/dao-cac-loai/c2511
Nhà Cửa - Đời Sống,Dụng cụ nhà bếp,"Dao, kéo và phụ kiện",Kéo các loại,,c27256,https://tiki.vn/keo-cac-loai/c27256
Nhà Cửa - Đời Sống,Dụng cụ nhà bếp,"Dao, kéo và phụ kiện",Dụng cụ Cắt-Gọt-Bào,,c3216,https://tiki.vn/dung-cu-cat-got-bao/c3216
Nhà Cửa - Đời Sống,Dụng cụ nhà bếp,"Dao, kéo và phụ kiện",Dụng cụ mài dao,,c4342,https://tiki.vn/dung-cu-mai-dao/c4342
Nhà Cửa - Đời Sống,Đồ dùng phòng ăn,"Bình lọc, lõi lọc, thiết bị lọc nước",Bình lọc,,c23286,https://tiki.vn/binh-loc/c23286
Nhà Cửa - Đời Sống,Đồ dùng phòng ăn,"Bình lọc, lõi lọc, thiết bị lọc nước",Lõi lọc,,c23288,https://tiki.vn/loi-loc/c23288
Nhà Cửa - Đời Sống,Đồ dùng phòng ăn,"Bình lọc, lõi lọc, thiết bị lọc nước",Thiết bị lọc,,c23290,https://tiki.vn/thiet-bi-loc/c23290
Nhà Cửa - Đời Sống,Đồ dùng phòng ăn,"Bình, ly uống cà phê và phụ kiện",,,c23304,https://tiki.vn/binh-ly-uong-ca-phe-va-phu-kien/c23304
Nhà Cửa - Đời Sống,Đồ dùng phòng ăn,Dụng cụ pha chế,,,c23322,https://tiki.vn/dung-cu-pha-che/c23322
Nhà Cửa - Đời Sống,Đồ dùng phòng ăn,"Ly, cốc & phụ kiện ly",,,c3177,https://tiki.vn/ly-coc-phu-kien-ly/c3177
Nhà Cửa - Đời Sống,Đồ dùng phòng ăn,"Tô, chén, dĩa",,,c3178,https://tiki.vn/to-chen-dia/c3178
Nhà Cửa - Đời Sống,Đồ dùng phòng ăn,"Đũa, muỗng, nĩa",,,c3179,https://tiki.vn/dua-muong-nia/c3179
Nhà Cửa - Đời Sống,Đồ dùng phòng ăn,Phụ kiện phòng ăn,Gạt tàn,,c23334,https://tiki.vn/gat-tan/c23334
Nhà Cửa - Đời Sống,Đồ dùng phòng ăn,Phụ kiện phòng ăn,Hộp khăn giấy,,c23336,https://tiki.vn/hop-khan-giay/c23336
Nhà Cửa - Đời Sống,Đồ dùng phòng ăn,Phụ kiện phòng ăn,Khay mứt,,c23338,https://tiki.vn/khay-mut/c23338
Nhà Cửa - Đời Sống,Đồ dùng phòng ăn,Phụ kiện phòng ăn,Phụ kiện phòng ăn khác,,c23340,https://tiki.vn/phu-kien-phong-an-khac/c23340
Nhà Cửa - Đời Sống,Đồ dùng phòng ăn,"Bình, ly uống trà và phụ kiện",,,c3990,https://tiki.vn/binh-ly-uong-tra-va-phu-kien/c3990
Nhà Cửa - Đời Sống,Đồ dùng phòng ăn,"Bình, ca đựng nước",,,c3991,https://tiki.vn/binh-ca-dung-nuoc/c3991
Nhà Cửa - Đời Sống,Đồ dùng phòng ăn,"Bình nước, bình giữ nhiệt & Phụ kiện",Bình giữ nhiệt,,c1936,https://tiki.vn/binh-giu-nhiet/c1936
Nhà Cửa - Đời Sống,Đồ dùng phòng ăn,"Bình nước, bình giữ nhiệt & Phụ kiện",Bình đựng nước,,c23282,https://tiki.vn/binh-dung-nuoc/c23282
Nhà Cửa - Đời Sống,Đồ dùng và thiết bị nhà tắm,Dụng cụ vệ sinh,Dụng cụ vệ sinh khác,,c2238,https://tiki.vn/dung-cu-ve-sinh-khac/c2238
Nhà Cửa - Đời Sống,Đồ dùng và thiết bị nhà tắm,Dụng cụ vệ sinh,"Bàn chải, dụng cụ thông tắc, cọ rửa",,c23022,https://tiki.vn/ban-chai-dung-cu-thong-tac-co-rua/c23022
Nhà Cửa - Đời Sống,Đồ dùng và thiết bị nhà tắm,Dụng cụ vệ sinh,Túi đựng rác,,c23026,https://tiki.vn/tui-dung-rac/c23026
Nhà Cửa - Đời Sống,Đồ dùng và thiết bị nhà tắm,Dụng cụ vệ sinh,"Thùng rác, đồ hốt rác",,c23030,https://tiki.vn/thung-rac-do-hot-rac/c23030
Nhà Cửa - Đời Sống,Đồ dùng và thiết bị nhà tắm,Phụ kiện giặt ủi,Túi giặt,,c23032,https://tiki.vn/tui-giat/c23032
